"año";"jurisdicción";"unidad";"superficie_total_incendiada";"superficie_afectada_por_incendios_bosque_nativo"
"2013";"Santa Cruz";"hectáreas";"1504.15";"1"
"2013";"Santa Fe";"hectáreas";"2478";"132"
"2013";"Santiago del Estero";"hectáreas";"6062";"3270"
"2013";"Tierra del Fuego";"hectáreas";"10.03";"2.76"
"2013";"Tucumán";"hectáreas";"6429";"104"
"2014";"Buenos Aires";"hectáreas";"66103.55";"4881.79"
"2014";"Catamarca";"hectáreas";"10366.62";"3.4"
"2014";"Chaco";"hectáreas";"5244.8";"72"
"2014";"Chubut";"hectáreas";"147.73";"1.03"
"2014";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0.2";" -   "
"2014";"Córdoba";"hectáreas";"4196";" -   "
"2014";"Corrientes";"hectáreas";"1639.99";"54.23"
"2014";"Entre Ríos";"hectáreas";"1536";"517"
"2014";"Formosa";"hectáreas";"7820.89";"10.79"
"2014";"Jujuy";"hectáreas";"1447.73";"20.58"
"2014";"La Pampa";"hectáreas";"490635.4";"143008.8"
"2014";"La Rioja";"hectáreas";"1814";" -   "
"2014";"Mendoza";"hectáreas";"66156";"2809.5"
"2014";"Misiones";"hectáreas";"959";"32"
"2014";"Neuquén";"hectáreas";"626.67";"31.11"
"2014";"Río Negro";"hectáreas";"49373.68";"4.34"
"2014";"Salta";"hectáreas";"1614.99";"12"
"2014";"San Juan";"hectáreas";"566";" -   "
"2014";"San Luis";"hectáreas";"52493";"2530"
"2014";"Santa Cruz";"hectáreas";"277.02";"184.92"
"2014";"Santa Fe";"hectáreas";"739";" -   "
"2014";"Santiago del Estero";"hectáreas";"1471";"27"
"2014";"Tierra del Fuego";"hectáreas";"8.98";"0.54"
"2014";"Tucumán";"hectáreas";"120";" -   "
"2015";"Buenos Aires";"hectáreas";"5730.04";"172.5"
"2015";"Catamarca";"hectáreas";"10851.78";"8.44"
"2015";"Chaco";"hectáreas";"4219.5";"25"
"2015";"Chubut";"hectáreas";"40346.98";"26986.85"
"2015";"Ciudad Autónoma de Buenos Aires";"hectáreas";"6";" -   "
"2015";"Córdoba";"hectáreas";"1280";"720"
"2015";"Corrientes";"hectáreas";"12227";" -   "
"2015";"Entre Ríos";"hectáreas";"1530";"503"
"2015";"Formosa";"hectáreas";"794.44";"5.99"
"2015";"Jujuy";"hectáreas";"1908.35";"48.78"
"2015";"La Pampa";"hectáreas";"213804";"92782"
"2015";"La Rioja";"hectáreas";"511";" -   "
"2015";"Mendoza";"hectáreas";"19788.35";"1025.6"
"2015";"Misiones";"hectáreas";"378";" -   "
"2015";"Neuquén";"hectáreas";"20564.49";"1.03"
"2015";"Río Negro";"hectáreas";"105108.23";"47.22"
"2015";"Salta";"hectáreas";"1094.45";"34.47"
"2015";"San Juan";"hectáreas";"591.25";" -   "
"2015";"San Luis";"hectáreas";"33198";"3555"
"2015";"Santa Cruz";"hectáreas";"158.5";"0.5"
"2015";"Santa Fe";"hectáreas";"1177";"127"
"2015";"Santiago del Estero";"hectáreas";"1975";"591"
"2015";"Tierra del Fuego";"hectáreas";"5.36";"2.21"
"2015";"Tucumán";"hectáreas";"115.3";" -   "
"2016";"Buenos Aires";"hectáreas";"59295.89";"2058.6"
"2016";"Catamarca";"hectáreas";"27495.69";"1396.37"
"2016";"Chaco";"hectáreas";"9129.2";"15"
"2016";"Chubut";"hectáreas";"9552.33";"6327.3"
"2016";"Ciudad Autónoma de Buenos Aires";"hectáreas";"12629";" -   "
"2016";"Córdoba";"hectáreas";"3540.7";"316.7"
"2016";"Corrientes";"hectáreas";"9980";"1400"
"2016";"Entre Ríos";"hectáreas";"3030";"1126"
"2016";"Formosa";"hectáreas";"614.9";" -   "
"2016";"Jujuy";"hectáreas";"2010.16";"470.88"
"2016";"La Pampa";"hectáreas";"615182";"157249.9"
"2016";"La Rioja";"hectáreas";"334";" -   "
"2016";"Mendoza";"hectáreas";"93529.3";"4498.5"
"2016";"Misiones";"hectáreas";"2665";"30"
"2016";"Neuquén";"hectáreas";"38356.06";"37.91"
"2016";"Río Negro";"hectáreas";"60175.91";"67.07"
"2016";"Salta";"hectáreas";"4665.82";"310.56"
"2016";"San Juan";"hectáreas";"2099.5";" -   "
"2016";"San Luis";"hectáreas";"97861";"123"
"2016";"Santa Cruz";"hectáreas";"1035.63";"31.4"
"2016";"Santa Fe";"hectáreas";"1107";"102"
"2016";"Santiago del Estero";"hectáreas";"1675";"34"
"2016";"Tierra del Fuego";"hectáreas";"10.02";"5.1"
"2016";"Tucumán";"hectáreas";"90";" -   "
"2017";"Buenos Aires";"hectáreas";"7696.47";"231.37"
"2017";"Catamarca";"hectáreas";"45170.12";"0.83"
"2017";"Chaco";"hectáreas";"4923.99";"1243"
"2017";"Chubut";"hectáreas";"521.44";"186.66"
"2017";"Ciudad Autónoma de Bs As";"hectáreas";"0";" -   "
"2017";"Córdoba";"hectáreas";"45343.4";"11922.2"
"2017";"Corrientes";"hectáreas";"2388.39";"256.03"
"2017";"Entre Ríos";"hectáreas";"372";"47"
"2017";"Formosa";"hectáreas";"1342.63";" -   "
"2017";"Jujuy";"hectáreas";"2105.63";"584.01"
"2017";"La Pampa";"hectáreas";"964407.5";"455174.8"
"2017";"La Rioja";"hectáreas";"734";" -   "
"2017";"Mendoza";"hectáreas";"418798.8";"78524"
"2017";"Misiones";"hectáreas";"1775";" -   "
"2017";"Neuquén";"hectáreas";"6787.27";"228"
"2017";"Río Negro";"hectáreas";"61076.46";"5.54"
"2017";"Salta";"hectáreas";"4477.39";"101.8"
"2017";"San Juan";"hectáreas";"12021.5";" -   "
"2017";"San Luis";"hectáreas";"39";" -   "
"2017";"Santa Cruz";"hectáreas";"303.2";" -   "
"2017";"Santa Fe";"hectáreas";"1303";"75"
"2017";"Santiago del Estero";"hectáreas";"1784";"10"
"2017";"Tierra del Fuego";"hectáreas";"5.21";"1.57"
"2017";"Tucumán";"hectáreas";"178.25";"21.46"
"2018";"Buenos Aires";"hectáreas";"86851.72";"2419.19"
"2018";"Catamarca";"hectáreas";"6992.88";"70.62"
"2018";"Chaco";"hectáreas";"3067.45";"78.9"
"2018";"Chubut";"hectáreas";"100.44";"2.2"
"2018";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0.04";" -   "
"2018";"Córdoba";"hectáreas";"20826.31";"2549"
"2018";"Corrientes";"hectáreas";"434.01";"48.5"
"2018";"Entre Ríos";"hectáreas";"4899";"3369"
"2018";"Formosa";"hectáreas";"550.65";" -   "
"2018";"Jujuy";"hectáreas";"841.76";"134.45"
"2018";"La Pampa";"hectáreas";"723261.9";"228359.65"
"2018";"La Rioja";"hectáreas";"303";" -   "
"2018";"Mendoza";"hectáreas";"126315.5";"8672.2"
"2018";"Misiones";"hectáreas";"765.5";" -   "
"2018";"Neuquén";"hectáreas";"2825.54";"1046.4"
"2018";"Parques Nacionales";"hectáreas";"33281.3";"72.07"
"2018";"Río Negro";"hectáreas";"4688.1";"68.98"
"2018";"Salta";"hectáreas";"1306.01";" -   "
"2018";"San Juan";"hectáreas";"565.5";"10.5"
"2018";"San Luis";"hectáreas";"39";" -   "
"2018";"Santa Fe";"hectáreas";"1686";"116"
"2018";"Tierra del Fuego";"hectáreas";"2.75";"0.04"
"2018";"Tucumán";"hectáreas";"1801.86";"0.4"
"2019";"Buenos Aires";"hectáreas";"301588.4";"44"
"2019";"Catamarca";"hectáreas";"11.805.887";"50.6"
"2019";"Chubut";"hectáreas";"4253.62";"10.3"
"2019";"Ciudad Autónoma de ";"hectáreas";"0.06";"0"
"2019";"Córdoba";"hectáreas";"20935.97";"2774.8"
"2019";"Corrientes";"hectáreas";"476.6";"147.1"
"2019";"Entre Ríos";"hectáreas";"953";"73"
"2019";"Formosa";"hectáreas";"2744.5";"0"
"2019";"Jujuy";"hectáreas";"5328.51";"1031.64"
"2019";"La Pampa";"hectáreas";"169229.8";"99181.85"
"2019";"La Rioja";"hectáreas";"34";"0"
"2019";"Mendoza";"hectáreas";"59872.5";"3354.35"
"2019";"Misiones";"hectáreas";"798.5";"44.5"
"2019";"Río Negro";"hectáreas";"388.15";"66.34"
"2019";"Salta";"hectáreas";"1155.73";"0"
"2019";"San Juan";"hectáreas";"1099.04";"21"
"2019";"San Luis";"hectáreas";"68110.5";"68110.5"
"2019";"Santa Cruz";"hectáreas";"5166";"0"
"2019";"Santa Fe";"hectáreas";"1164";"30"
"2019";"Santiago del Estero";"hectáreas";"1997";"0"
"2019";"Tierra del Fuego";"hectáreas";"188.79";"924.595"
"2020";"Buenos Aires";"hectáreas";"144029";"36"
"2020";"Catamarca";"hectáreas";"21609.7";"15.94"
"2020";"Chaco";"hectáreas";"27931.74";"0"
"2020";"Chubut";"hectáreas";"930.68";"6.05"
"2020";"Ciudad Autónoma de Buenos Aires";"hectáreas";"9.11";"0"
"2020";"Córdoba";"hectáreas";"208442.78";"45996.85"
"2020";"Entre Ríos";"hectáreas";"321603.9";"306"
"2020";"Formosa";"hectáreas";"73769.58";"0"
"2020";"Jujuy";"hectáreas";"38908.54";"30439.56"
"2020";"La Pampa";"hectáreas";"91977.82";"17444.9"
"2020";"La Rioja";"hectáreas";"2398.29";"0"
"2020";"Mendoza";"hectáreas";"35739.7";"4854.4"
"2020";"Misiones";"hectáreas";"2728";"443"
"2020";"Neuquén";"hectáreas";"25877.61";"0.575"
"2020";"Río Negro";"hectáreas";"162.33";"9.79"
"2020";"Salta";"hectáreas";"43593.5";"196.15"
"2020";"San Juan";"hectáreas";"1352";"18"
"2020";"San Luis";"hectáreas";"113836.79";"40932.9"
"2020";"Santa Cruz";"hectáreas";"503.8";"0"
"2020";"Santa Fé";"hectáreas";"1284";"1"
"2020";"Santiago del Estero";"hectáreas";"4327";"3"
"2020";"Tierra del Fuego";"hectáreas";"1.42";"1.421"
"2020";"Tucumán";"hectáreas";"11384.06";"548.4"
"2021";"Buenos Aires";"hectáreas";"7092.84";"45"
"2021";"Catamarca";"hectáreas";"13783.2";"2010.41"
"2021";"Chaco";"hectáreas";"3096.9";"306"
"2021";"Chubut";"hectáreas";"3520.92";"26.1"
"2021";"Ciudad Autónoma de ";"hectáreas";"0";"0"
"2021";"Córdoba";"hectáreas";"63354.2";"32062.5"
"2021";"Corrientes";"hectáreas";"8897.35";"0"
"2021";"Entre Ríos";"hectáreas";"138793";"117"
"2021";"Formosa";"hectáreas";"340562.8";"0"
"2021";"Jujuy";"hectáreas";"6271.03";"3296.2"
"2021";"La Pampa";"hectáreas";"33489.87";"8884.95"
"2021";"La Rioja";"hectáreas";"21137.04";"7007.01"
"2021";"Mendoza";"hectáreas";"3119.1";"27"
"2021";"Misiones";"hectáreas";"1519";"251"
"2021";"Neuquén";"hectáreas";"5848.28";"1415.29"
"2021";"Río Negro";"hectáreas";"103.69";"0.97"
"2021";"Salta";"hectáreas";"12430.72";"0.31"
"2021";"San Juan";"hectáreas";"710.28";"0"
"2021";"San Luis";"hectáreas";"51872.5";"61.1"
"2021";"Santa Cruz";"hectáreas";"5398.51";"106.6"
"2021";"Santa Fe";"hectáreas";"185";"102.5"
"2021";"Santiago del Estero";"hectáreas";"2219";"60"
"2021";"Tierra del Fuego";"hectáreas";"82.03";"5.76"
"2021";"Tucumán";"hectáreas";"3454.56";"188.23"
